kepid,koi_disposition,maxFlux,minFlux,meanFlux,p2pFlux,varianceFlux
2582800,FALSE POSITIVE,1.000122614,0.999908493,1.000002589,0.00021412,1.38E-09
2583777,FALSE POSITIVE,1.003209876,0.999479771,0.999907911,0.003730105,6.17E-08
2584163,CONFIRMED,1.000250625,0.999760429,1.000008601,0.000490196,6.09E-09
2692377,CONFIRMED,1.000187571,0.999735495,1.000000034,0.000452076,2.39E-09
2693092,FALSE POSITIVE,1.001658074,0.949725953,0.999453129,0.051932121,2.37E-05
2693736,CONFIRMED,1.000298259,0.999757413,1.000006072,0.000540846,6.12E-09
2694632,FALSE POSITIVE,1.003330756,0.998077231,1.000012,0.005253525,1.02E-07
2695110,FALSE POSITIVE,1.000231989,0.99870699,0.999994943,0.001524999,1.66E-08
2696703,FALSE POSITIVE,1.035543738,0.987376461,1.000818827,0.048167277,4.80E-05
2697169,FALSE POSITIVE,1.000271072,0.999580039,1.000008632,0.000691034,7.87E-09
2697935,FALSE POSITIVE,1.001422263,0.998910499,1.000002919,0.002511764,2.18E-08
2707097,FALSE POSITIVE,1.001002616,0.99522225,0.998113913,0.005780366,1.56E-06
2707916,FALSE POSITIVE,1.00043683,0.999591789,1.0000153,0.00084504,2.55E-08
2707985,FALSE POSITIVE,1.000061129,0.999922757,1.000000564,0.000138372,4.52E-10
2708156,FALSE POSITIVE,1.000212058,0.839802457,0.978904387,0.160409601,0.001942618
2708172,FALSE POSITIVE,1.002249063,0.999772189,1.000027158,0.002476874,3.85E-08
2708203,FALSE POSITIVE,1.000148099,0.999791651,1.000000477,0.000356448,2.41E-09
2708221,FALSE POSITIVE,1.00102154,0.997977789,1.000005496,0.003043751,5.03E-08
2708270,FALSE POSITIVE,1.001445761,0.998817821,1.000006085,0.002627939,2.05E-07
2708278,FALSE POSITIVE,1.001406765,0.999335156,1.000018162,0.002071609,1.51E-08
2708286,FALSE POSITIVE,1.001099621,0.999262215,1.000011378,0.001837405,1.17E-08
